"","NTACode","Cluster"
"1","BK09",3
"2","BK17",3
"3","BK19",2
"4","BK21",2
"5","BK23",2
"6","BK25",3
"7","BK26",2
"8","BK27",2
"9","BK28",3
"10","BK29",2
"11","BK30",2
"12","BK31",5
"13","BK32",3
"14","BK33",3
"15","BK34",3
"16","BK35",3
"17","BK37",5
"18","BK38",5
"19","BK40",2
"20","BK41",2
"21","BK42",3
"22","BK43",2
"23","BK44",2
"24","BK45",2
"25","BK46",2
"26","BK50",2
"27","BK58",2
"28","BK60",3
"29","BK61",3
"30","BK63",2
"31","BK64",3
"32","BK68",3
"33","BK69",3
"34","BK72",2
"35","BK73",5
"36","BK75",3
"37","BK76",3
"38","BK77",3
"39","BK78",3
"40","BK79",2
"41","BK81",2
"42","BK82",2
"43","BK83",2
"44","BK85",2
"45","BK88",2
"46","BK90",3
"47","BK91",2
"48","BK93",2
"49","BK95",2
"50","BK96",2
"51","MN01",2
"52","MN03",3
"53","MN04",3
"54","MN06",2
"55","MN09",3
"56","MN11",3
"57","MN12",5
"58","MN13",4
"59","MN14",3
"60","MN15",4
"61","MN17",1
"62","MN19",4
"63","MN20",5
"64","MN21",5
"65","MN22",4
"66","MN23",4
"67","MN24",4
"68","MN25",5
"69","MN27",5
"70","MN28",3
"71","MN31",5
"72","MN32",5
"73","MN33",3
"74","MN34",3
"75","MN35",3
"76","MN36",3
"77","MN40",5
"78","MN50",2
